PermitID,MonthlyPrice,PermitStartDate,PermitEndDate,VehicleID,ParkingLotID
10000000,50,11/16/2018,12/15/2018,700000000,2000
10000001,50,9/17/2017,12/16/2017,700000001,2001
10000002,50,11/18/2018,11/17/2019,700000002,2002
10000003,50,2/17/2018,2/16/2019,700000003,2003
10000004,50,11/30/2018,11/29/2019,700000004,2004
10000005,50,12/15/2018,1/14/2019,700000005,2005
10000006,50,11/2/2018,12/1/2018,700000006,2006
10000007,50,11/7/2018,2/6/2019,700000007,2007
10000008,50,11/18/2018,11/17/2019,700000008,2008
10000009,50,1/17/2018,1/16/2019,700000009,2009
10000010,50,10/30/2018,10/29/2019,700000010,2010
10000011,50,11/15/2018,12/14/2018,700000011,2011
10000012,50,11/25/2018,12/24/2018,700000012,2012
10000013,50,10/17/2018,1/16/2018,700000013,2013
10000014,50,11/18/2018,11/17/2019,700000014,2014
10000015,50,2/17/2018,2/16/2019,700000015,2015
10000016,50,11/30/2018,11/29/2019,700000016,2016
10000017,50,1/15/2018,1/14/2019,700000017,2017
10000018,50,11/16/2018,12/15/2018,700000018,2018
10000019,50,10/19/2018,1/18/2018,700000019,2019
10000020,50,12/17/2017,12/16/2018,700000020,2001
